,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,pri_genres,sec_genres
0,ART_AND_DESIGN,4.1,159,19,10000,0,0,Everyone,Art & Design,Art & Design,Art & Design
1,ART_AND_DESIGN,3.9,967,14,500000,0,0,Everyone,Art & Design;Pretend Play,Art & Design,Pretend Play
2,ART_AND_DESIGN,4.7,87510,8.7,5000000,0,0,Everyone,Art & Design,Art & Design,Art & Design
3,ART_AND_DESIGN,4.5,215644,25,50000000,0,0,Teen,Art & Design,Art & Design,Art & Design
4,ART_AND_DESIGN,4.3,967,2.8,100000,0,0,Everyone,Art & Design;Creativity,Art & Design,Creativity
5,ART_AND_DESIGN,4.4,167,5.6,50000,0,0,Everyone,Art & Design,Art & Design,Art & Design
6,ART_AND_DESIGN,3.8,178,19,50000,0,0,Everyone,Art & Design,Art & Design,Art & Design
7,ART_AND_DESIGN,4.1,36815,29,1000000,0,0,Everyone,Art & Design,Art & Design,Art & Design
8,ART_AND_DESIGN,4.4,13791,33,1000000,0,0,Everyone,Art & Design,Art & Design,Art & Design
9,ART_AND_DESIGN,4.7,121,3.1,10000,0,0,Everyone,Art & Design;Creativity,Art & Design,Creativity
10,ART_AND_DESIGN,4.4,13880,28,1000000,0,0,Everyone,Art & Design,Art & Design,Art & Design
11,ART_AND_DESIGN,4.4,8788,12,1000000,0,0,Everyone,Art & Design,Art & Design,Art & Design
12,ART_AND_DESIGN,4.2,44829,20,10000000,0,0,Teen,Art & Design,Art & Design,Art & Design
13,ART_AND_DESIGN,4.6,4326,21,100000,0,0,Everyone,Art & Design,Art & Design,Art & Design
14,ART_AND_DESIGN,4.4,1518,37,100000,0,0,Everyone,Art & Design,Art & Design,Art & Design
15,ART_AND_DESIGN,3.2,55,2.7,5000,0,0,Everyone,Art & Design,Art & Design,Art & Design
16,ART_AND_DESIGN,4.7,3632,5.5,500000,0,0,Everyone,Art & Design,Art & Design,Art & Design
17,ART_AND_DESIGN,4.5,27,17,10000,0,0,Everyone,Art & Design,Art & Design,Art & Design
18,ART_AND_DESIGN,4.3,194216,39,5000000,0,0,Everyone,Art & Design,Art & Design,Art & Design
19,ART_AND_DESIGN,4.6,224399,31,10000000,0,0,Everyone,Art & Design,Art & Design,Art & Design
20,ART_AND_DESIGN,4,450,14,100000,0,0,Everyone,Art & Design,Art & Design,Art & Design
21,ART_AND_DESIGN,4.1,654,12,100000,0,0,Everyone,Art & Design,Art & Design,Art & Design
22,ART_AND_DESIGN,4.7,7699,4.2,500000,0,0,Everyone 10+,Art & Design,Art & Design,Art & Design
23,ART_AND_DESIGN,0,61,7,100000,0,0,Everyone,Art & Design;Action & Adventure,Art & Design,Action & Adventure
24,ART_AND_DESIGN,4.7,118,23,50000,0,0,Everyone,Art & Design,Art & Design,Art & Design
25,ART_AND_DESIGN,4.8,192,6,10000,0,0,Everyone,Art & Design,Art & Design,Art & Design
26,ART_AND_DESIGN,4.7,20260,25,500000,0,0,Everyone,Art & Design;Creativity,Art & Design,Creativity
